m1,m3,alpha_12,alpha_23,delta,$\phi_{theo}$,$\phi_{calc}$,$\phi_{saa1}$,$\phi_{saa2}$,error1,error2
10.0,10.0,0.95,0.75,-0.717906406970659,2.212644e-05,2.178559e-05,4.280767e-05,2.204039e-05,0.9346841826623116,0.0038887549401391257
1.0,1.0,0.95,0.8,-0.6470248873290801,6.891766e-05,6.786099e-05,1.220042e-04,6.858551e-05,0.7702892142833165,0.004819386568708077
1.0,10.0,0.95,0.8,-0.6470252951104851,8.248679e-05,8.215847e-05,2.991100e-05,8.146327e-05,0.6373843371314128,0.012408229778519504
10.0,1.0,0.95,0.8,-0.6470248873290385,9.412075e-06,9.255654e-06,2.991098e-05,9.374859e-06,2.1779372193751407,0.00395407755398843
10.0,10.0,0.95,0.8,-0.6470252951100779,2.179367e-05,2.145953e-05,3.858113e-05,2.168865e-05,0.7702906443943169,0.004819099614782142
1.0,1.0,0.95,0.85,-0.5410536328456654,6.595668e-05,6.497575e-05,1.020221e-04,6.552843e-05,0.5468038885572785,0.0064928384820570895
1.0,10.0,0.95,0.85,-0.5410543069259764,6.755347e-05,6.777982e-05,2.501212e-05,6.644528e-05,0.6297433365999631,0.01640460401109576
10.0,1.0,0.95,0.85,-0.5410536328456003,9.184415e-06,9.025429e-06,2.501209e-05,9.137193e-06,1.7233190300040686,0.0051414986228021835
10.0,10.0,0.95,0.85,-0.5410543069253022,2.085732e-05,2.054715e-05,3.226225e-05,2.072192e-05,0.5468069935212506,0.006491693209186875
1.0,1.0,0.95,0.8999999999999999,-0.36551491347702736,5.519959e-05,5.446678e-05,6.892215e-05,5.464580e-05,0.2485989979732017,0.010032516939387144
1.0,10.0,0.95,0.8999999999999999,-0.365516172264996,3.720346e-05,3.758128e-05,1.689726e-05,3.643500e-05,0.5458147833024399,0.02065543990820335
10.0,1.0,0.95,0.8999999999999999,-0.3655149134768982,8.270860e-06,8.119066e-06,1.689720e-05,8.207547e-06,1.0429800946221934,0.007654942208610685
10.0,10.0,0.95,0.8999999999999999,-0.3655161722637311,1.745558e-05,1.722394e-05,2.179517e-05,1.728055e-05,0.24860794625081406,0.010026811334413754
1.0,1.0,0.95,0.95,-0.018743263035528653,3.852201e-06,3.561592e-06,3.534264e-06,3.531782e-06,0.08253398155770764,0.08317811189396791
1.0,10.0,0.95,0.95,-0.018746203120190538,1.062719e-06,9.241019e-07,8.666086e-07,9.029036e-07,0.18453616948997945,0.15038326809923763
10.0,1.0,0.95,0.95,-0.018743263035227553,8.405559e-07,8.276849e-07,8.664727e-07,8.318695e-07,0.030832988799662897,0.010334112278780661
10.0,10.0,0.95,0.95,-0.01874620311724923,1.217875e-06,1.126451e-06,1.117808e-06,1.117023e-06,0.08216562273446136,0.08281022196464344
