m2,dist1,psi_theo,psi_approx,S2psi
1e-20,0.0001493092113191889,1.0002982360011739e-10,9.999994962124741e-11,0.7713428176556972
1e-20,0.00019596033111377197,1.000390984573143e-10,9.999988103090428e-11,1.012589595781073
1e-20,0.00024143679760040923,1.0004810220196562e-10,9.999976792675524e-11,1.247985619605381
1e-20,0.00028580490719076084,1.000568381658725e-10,9.999959896879757e-11,1.4779097134765364
1e-20,0.0003291357658486391,1.0006530726315768e-10,9.999936270050723e-11,1.7026812861209282
1e-20,0.0003714433917466997,1.0007350887051631e-10,9.999904754699824e-11,1.9225831061469647
1e-20,0.0004127845040647312,1.0008144119686457e-10,9.99986418131708e-11,2.137870894148084
1e-20,0.00045321813748201045,1.0008910157099253e-10,9.999813368184761e-11,2.348780797986235
1e-20,0.0004927376961577612,1.0009648649275668e-10,9.999751121189889e-11,2.5555307629895228
1e-20,0.0005314109503508503,1.0010359188313673e-10,9.999676233635598e-11,2.758327037098018
1e-20,0.0005692445938768001,1.0011041313522692e-10,9.999587486051376e-11,2.957365536449472
1e-20,0.0006062697478168188,1.0011694512941338e-10,9.999483646002162e-11,3.1528322865455407
1e-20,0.0006425351500494716,1.001231823384999e-10,9.99936346789637e-11,3.3449061861589136
1e-20,0.0006780782020536102,1.0012911889181675e-10,9.999225692792791e-11,3.5337607124716035
1e-20,0.0007128167571599926,1.0013474853107699e-10,9.999069048206439e-11,3.7195628314195175
1e-20,0.00074689796140897,1.0014006469362616e-10,9.998892247913304e-11,3.9024751976051637
1e-20,0.0007803188516619793,1.0014506051883872e-10,9.998693991754078e-11,4.082656370128001
1e-20,0.0008130228080064831,1.0014972887607436e-10,9.998472965436841e-11,4.260261585362179
1e-20,0.0008451650654794952,1.0015406233458314e-10,9.998227840338734e-11,4.435442031115709
1e-20,0.0008766577223579754,1.0015805324740385e-10,9.997957273306639e-11,4.6083470643434845
1e-20,0.0009076034251421828,1.001616937097354e-10,9.997659906456894e-11,4.779123188012451
1e-20,0.0009378981138380893,1.001649755795095e-10,9.997334366974056e-11,4.947914634246889
1e-20,0.0009676514558322575,1.001678904925683e-10,9.99697926690875e-11,5.114863808406961
1e-20,0.0009968919749273196,1.0017042986134098e-10,9.9965932029746e-11,5.280111307352564
